1;Zona;;;;;;
11;;0; 10 ; 40 ; 500 ;750;
12;A;;IV;IV;V;V;V
13;B;;III;III;IV;IV;IV
14;C;;II;III;III;IV;IV
15;D;I;II;II;II;III;IV
2;Zona;;;;;;
21;;0; 10 ; 40 ; 500 ;750;
22;A;;IV;IV;V;V;V
23;B;;III;III;IV;IV;IV
24;C;;II;III;III;IV;IV
25;D;I;II;II;II;III;III
3;Zona;;;;;;
31;;0; 10 ; 40 ; 500 ;750;
32;A;;IV;IV;V;V;V
33;B;;III;III;IV;IV;IV
34;C;;II;III;III;IV;IV
35;D;I;II;II;II;III;III
4;Zona;;;;;;
41;;0; 10 ; 40 ; 500 ;750;
42;A;;IV;IV;V;V;V
43;B;;III;III;IV;IV;IV
44;C;;II;III;III;IV;IV
45;D;I;II;II;II;III;III
5;Zona;;;;;;
51;;0; 10 ; 40 ; 500 ;750;
52;A;;IV;IV;V;V;V
53;B;;III;III;IV;IV;IV
54;C;;III;III;III;IV;IV
55;D;I;II;II;II;III;III
6;Zona;;;;;;
61;;0; 10 ; 40 ; 500 ;750;
62;A;;III;IV;V;V;V
63;B;;II;III;IV;IV;IV
64;C;;II;III;III;IV;IV
65;D;I;I;II;II;III;III
7;Zona;;;;;;
71;;-0,5;0;;;;
72;A;;;IV;IV;IV;IV
73;B;;;IV;IV;IV;IV
74;C;;;III;III;III;III
75;D;I;II;III;III;III;III
8;Zona;;;;;;
81;;-0,5;0;;;;
82;A;;;IV;IV;IV;IV
83;B;;;IV;IV;IV;IV
84;C;;;III;III;III;III
85;D;I;II;II;II;II;II
9;Zona;;;;;;
91;;0;;;;;
92;A;;I;I;I;I;I
93;B;;I;I;I;I;I
94;C;;I;I;I;I;I
95;D;I;I;I;I;I;I
